r,x,y_low,y_up
406,33.027027,37.89661,38.39775
407,33.106106,37.89409,38.39488
408,33.185185,37.89157,38.39202
409,33.264264,37.88905,38.38915
410,33.343343,37.88653,38.38629
411,33.422422,37.88400,38.38343
412,33.501502,37.88147,38.38057
413,33.580581,37.87894,38.37771
414,33.659660,37.87641,38.37486
415,33.738739,37.87387,38.37201
416,33.817818,37.87134,38.36916
417,33.896897,37.86880,38.36631
418,33.975976,37.86626,38.36346
419,34.055055,37.86371,38.36062
420,34.134134,37.86117,38.35778
421,34.213213,37.85862,38.35494
422,34.292292,37.85607,38.35211
423,34.371371,37.85352,38.34927
424,34.450450,37.85096,38.34644
425,34.529530,37.84840,38.34361
426,34.608609,37.84584,38.34078
427,34.687688,37.84328,38.33796
428,34.766767,37.84072,38.33513
429,34.845846,37.83815,38.33231
430,34.924925,37.83559,38.32949
431,35.004004,37.83302,38.32668
432,35.083083,37.83044,38.32386
433,35.162162,37.82787,38.32105
434,35.241241,37.82529,38.31824
435,35.320320,37.82271,38.31544
436,35.399399,37.82013,38.31263
437,35.478478,37.81754,38.30983
438,35.557558,37.81496,38.30703
439,35.636637,37.81237,38.30423
440,35.715716,37.80978,38.30143
441,35.794795,37.80719,38.29864
442,35.873874,37.80459,38.29585
443,35.952953,37.80199,38.29306
444,36.032032,37.79939,38.29027
445,36.111111,37.79679,38.28749
446,36.190190,37.79418,38.28471
447,36.269269,37.79158,38.28193
448,36.348348,37.78897,38.27915
449,36.427427,37.78636,38.27638
450,36.506507,37.78374,38.27360
451,36.585586,37.78113,38.27083
452,36.664665,37.77851,38.26806
453,36.743744,37.77589,38.26530
454,36.822823,37.77326,38.26253
455,36.901902,37.77064,38.25977
456,36.980981,37.76801,38.25701
457,37.060060,37.76538,38.25426
458,37.139139,37.76275,38.25150
459,37.218218,37.76011,38.24875
460,37.297297,37.75748,38.24600
461,37.376376,37.75484,38.24326
462,37.455455,37.75219,38.24051
463,37.534535,37.74955,38.23777
464,37.613614,37.74690,38.23503
465,37.692693,37.74425,38.23229
466,37.771772,37.74160,38.22955
467,37.850851,37.73895,38.22682
468,37.929930,37.73629,38.22409
469,38.009009,37.73364,38.22136
470,38.088088,37.73097,38.21864
471,38.167167,37.72831,38.21591
472,38.246246,37.72565,38.21319
473,38.325325,37.72298,38.21047
474,38.404404,37.72031,38.20776
475,38.483483,37.71764,38.20504
476,38.562563,37.71496,38.20233
477,38.641642,37.71228,38.19962
478,38.720721,37.70961,38.19691
479,38.799800,37.70692,38.19421
480,38.878879,37.70424,38.19150
481,38.957958,37.70155,38.18880
482,39.037037,37.69886,38.18611
483,39.116116,37.69617,38.18341
484,39.195195,37.69348,38.18072
485,39.274274,37.69078,38.17803
486,39.353353,37.68809,38.17534
487,39.432432,37.68538,38.17265
488,39.511512,37.68268,38.16997
489,39.590591,37.67998,38.16729
490,39.669670,37.67727,38.16461
491,39.748749,37.67456,38.16193
492,39.827828,37.67185,38.15926
493,39.906907,37.66913,38.15658
494,39.985986,37.66641,38.15391
495,40.065065,37.66370,38.15125
496,40.144144,37.66097,38.14858
497,40.223223,37.65825,38.14592
498,40.302302,37.65552,38.14326
499,40.381381,37.65279,38.14060
500,40.460460,37.65006,38.13795
501,40.539540,37.64733,38.13529
502,40.618619,37.64459,38.13264
503,40.697698,37.64186,38.12999
504,40.776777,37.63912,38.12735
505,40.855856,37.63637,38.12470
506,40.934935,37.63363,38.12206
507,41.014014,37.63088,38.11942
508,41.093093,37.62813,38.11679
509,41.172172,37.62538,38.11415
510,41.251251,37.62262,38.11152
511,41.330330,37.61987,38.10889
512,41.409409,37.61711,38.10626
513,41.488488,37.61435,38.10364
514,41.567568,37.61158,38.10101
515,41.646647,37.60882,38.09839
516,41.725726,37.60605,38.09577
517,41.804805,37.60328,38.09316
518,41.883884,37.60050,38.09054
519,41.962963,37.59773,38.08793
520,42.042042,37.59495,38.08532
521,42.121121,37.59217,38.08272
522,42.200200,37.58939,38.08011
523,42.279279,37.58660,38.07751
524,42.358358,37.58382,38.07491
525,42.437437,37.58103,38.07231
526,42.516517,37.57824,38.06972
527,42.595596,37.57544,38.06713
528,42.674675,37.57265,38.06454
529,42.753754,37.56985,38.06195
530,42.832833,37.56705,38.05936
531,42.911912,37.56424,38.05678
532,42.990991,37.56144,38.05420
533,43.070070,37.55863,38.05162
534,43.149149,37.55582,38.04904
535,43.228228,37.55301,38.04646
536,43.307307,37.55019,38.04389
537,43.386386,37.54738,38.04132
538,43.465465,37.54456,38.03875
539,43.544545,37.54174,38.03619
540,43.623624,37.53891,38.03363
541,43.702703,37.53609,38.03106
542,43.781782,37.53326,38.02851
543,43.860861,37.53043,38.02595
544,43.939940,37.52760,38.02339
545,44.019019,37.52476,38.02084
546,44.098098,37.52193,38.01829
547,44.177177,37.51909,38.01574
548,44.256256,37.51625,38.01320
549,44.335335,37.51340,38.01066
550,44.414414,37.51056,38.00811
551,44.493493,37.50771,38.00558
552,44.572573,37.50486,38.00304
553,44.651652,37.50201,38.00050
554,44.730731,37.49915,37.99797
555,44.809810,37.49630,37.99544
556,44.888889,37.49344,37.99291
557,44.967968,37.49058,37.99039
558,45.047047,37.48771,37.98787
559,45.126126,37.48485,37.98534
560,45.205205,37.48198,37.98282
561,45.284284,37.47911,37.98031
562,45.363363,37.47624,37.97779
563,45.442442,37.47337,37.97528
564,45.521522,37.47049,37.97277
565,45.600601,37.46761,37.97026
566,45.679680,37.46473,37.96776
567,45.758759,37.46185,37.96525
568,45.837838,37.45896,37.96275
569,45.916917,37.45608,37.96025
570,45.995996,37.45319,37.95775
571,46.075075,37.45030,37.95526
572,46.154154,37.44740,37.95276
573,46.233233,37.44451,37.95027
574,46.312312,37.44161,37.94778
575,46.391391,37.43871,37.94529
576,46.470470,37.43581,37.94281
577,46.549550,37.43290,37.94033
578,46.628629,37.43000,37.93785
579,46.707708,37.42709,37.93537
580,46.786787,37.42418,37.93289
581,46.865866,37.42127,37.93042
582,46.944945,37.41835,37.92794
583,47.024024,37.41544,37.92547
584,47.103103,37.41252,37.92300
585,47.182182,37.40960,37.92054
586,47.261261,37.40668,37.91807
587,47.340340,37.40375,37.91561
588,47.419419,37.40083,37.91315
589,47.498498,37.39790,37.91069
590,47.577578,37.39497,37.90824
591,47.656657,37.39204,37.90578
592,47.735736,37.38910,37.90333
593,47.814815,37.38617,37.90088
594,47.893894,37.38323,37.89843
595,47.972973,37.38029,37.89598
596,48.052052,37.37734,37.89354
597,48.131131,37.37440,37.89110
598,48.210210,37.37145,37.88866
599,48.289289,37.36850,37.88622
600,48.368368,37.36555,37.88378
601,48.447447,37.36260,37.88135
602,48.526527,37.35965,37.87892
603,48.605606,37.35669,37.87648
604,48.684685,37.35373,37.87406
605,48.763764,37.35077,37.87163
606,48.842843,37.34781,37.86920
607,48.921922,37.34485,37.86678
608,49.001001,37.34188,37.86436
