r,x,y_low,y_up
796,63.867868,36.75713,37.43641
797,63.946947,36.75390,37.43425
798,64.026026,36.75068,37.43208
799,64.105105,36.74746,37.42992
800,64.184184,36.74423,37.42776
801,64.263263,36.74101,37.42560
802,64.342342,36.73778,37.42343
803,64.421421,36.73456,37.42127
804,64.500501,36.73133,37.41911
805,64.579580,36.72810,37.41696
806,64.658659,36.72487,37.41480
807,64.737738,36.72164,37.41264
808,64.816817,36.71841,37.41049
809,64.895896,36.71518,37.40833
810,64.974975,36.71195,37.40618
811,65.054054,36.70872,37.40402
812,65.133133,36.70548,37.40187
813,65.212212,36.70225,37.39972
814,65.291291,36.69901,37.39757
815,65.370370,36.69578,37.39542
816,65.449449,36.69254,37.39327
817,65.528529,36.68930,37.39112
818,65.607608,36.68606,37.38897
819,65.686687,36.68282,37.38682
820,65.765766,36.67958,37.38468
821,65.844845,36.67634,37.38253
822,65.923924,36.67310,37.38038
823,66.003003,36.66986,37.37824
824,66.082082,36.66661,37.37610
825,66.161161,36.66337,37.37395
826,66.240240,36.66012,37.37181
827,66.319319,36.65688,37.36967
828,66.398398,36.65363,37.36753
829,66.477477,36.65038,37.36539
830,66.556557,36.64714,37.36325
831,66.635636,36.64389,37.36111
832,66.714715,36.64064,37.35898
833,66.793794,36.63739,37.35684
834,66.872873,36.63414,37.35470
835,66.951952,36.63089,37.35257
836,67.031031,36.62763,37.35044
837,67.110110,36.62438,37.34830
838,67.189189,36.62113,37.34617
839,67.268268,36.61787,37.34404
840,67.347347,36.61462,37.34190
841,67.426426,36.61136,37.33977
842,67.505506,36.60811,37.33764
843,67.584585,36.60485,37.33551
844,67.663664,36.60159,37.33339
845,67.742743,36.59833,37.33126
846,67.821822,36.59507,37.32913
847,67.900901,36.59181,37.32700
848,67.979980,36.58855,37.32488
849,68.059059,36.58529,37.32275
850,68.138138,36.58203,37.32063
851,68.217217,36.57877,37.31850
852,68.296296,36.57550,37.31638
853,68.375375,36.57224,37.31426
854,68.454454,36.56897,37.31214
855,68.533534,36.56571,37.31001
856,68.612613,36.56244,37.30789
857,68.691692,36.55918,37.30577
858,68.770771,36.55591,37.30365
859,68.849850,36.55264,37.30153
860,68.928929,36.54937,37.29942
861,69.008008,36.54610,37.29730
862,69.087087,36.54283,37.29518
863,69.166166,36.53956,37.29307
864,69.245245,36.53629,37.29095
865,69.324324,36.53302,37.28884
866,69.403403,36.52975,37.28672
867,69.482482,36.52647,37.28461
868,69.561562,36.52320,37.28250
869,69.640641,36.51992,37.28038
870,69.719720,36.51665,37.27827
871,69.798799,36.51337,37.27616
872,69.877878,36.51010,37.27405
873,69.956957,36.50682,37.27194
874,70.036036,36.50354,37.26983
875,70.115115,36.50027,37.26772
876,70.194194,36.49699,37.26561
