SampleName,d18O_CO2,d17O_CO2,Dp17O_CO2,d18O_error,d17O_error,Dp17O_error,Replicates,d18O_AC,d17O_AC,Dp17O_AC
ExpA,16.13567375316753,8.261226015155193,-224.3412791534869,0.10720051711960636,0.05420003275494071,3.9787388844297578,4,5.825957686877018,2.8980175625072206,-173.35327441573912
ExpB,16.24557562645805,8.309692628020157,-233.37767039006607,0.041349465509530094,0.028245464214654736,7.670225325233205,3,5.934744495380301,2.9462263686241386,-182.38857531685326
ExpE,16.22639031826716,8.303529768410192,-229.52113961852126,0.08853375407968378,0.04583496539689191,6.316986450349723,3,5.915753841392757,2.9400962908963493,-178.53266177339134
ExpG,16.12938750213398,8.24592949422763,-236.24718106621324,0.06144641688592995,0.04061079944507631,8.349946950134562,2,5.819735216168169,2.882802407825011,-185.25813328221653
ExpH,16.209717959244273,8.292782195384873,-231.51830861313627,0.052158005031076274,0.03277362762234229,5.403937359637543,2,5.899250640182231,2.92940588705801,-180.5292673378074
ExpI,16.19658216122624,8.294293572841559,-223.19411936863887,0.045013072835041266,0.01353693314835877,9.962517790471143,2,5.8862481180165105,2.9309092250977073,-172.20520842247166
KoelnRefCO2-2,32.13246090220801,16.72152084519847,-115.80700582032533,0.031188021810460057,0.014547992728643232,5.670675018126409,8,21.660441378082623,11.313309844030641,-64.8180022858238
