SampleName,d18O_CO2,d17O_CO2,Dp17O_CO2,d18O_error,d17O_error,Dp17O_error,Replicates,d18O_AC,d17O_AC,Dp17O_AC
ExpA,16.135582485918412,8.26172822991665,-223.79576572425154,0.10704490033106946,0.05429480819713326,3.538590257421895,4,5.825867345625738,2.898517105855376,-172.8077508006023
ExpB,16.24537345554765,8.310272219391623,-232.697814500229,0.04143227740549042,0.02823302268675591,7.874459969339815,3,5.934544375696646,2.946802876995662,-181.70872082618007
ExpE,16.225966916664262,8.304265415681364,-228.5715642192733,0.08853437271477546,0.04583388906407286,6.317057533853207,3,5.915334735624015,2.9408280250648886,-177.58308642719146
ExpG,16.128963422717888,8.246666494113885,-235.29584925551194,0.06144684624657775,0.04060984579024474,8.348735223661464,2,5.819315439463367,2.883535487413724,-184.30680149821166
ExpH,16.20929444114223,8.293518095039037,-230.56841102564718,0.05215836948836872,0.03277285800616078,5.402949692687531,2,5.898831419096382,2.930137872267096,-179.5793697681498
ExpI,16.196158551336993,8.295029437004363,-222.24420755070807,0.04501338736667816,0.013536615263414497,9.96301603360483,2,5.885828806074642,2.931641175004188,-171.25529661054094
KoelnRefCO2-2,32.13242169925411,16.721854924539855,-115.45836420901567,0.03129362457964378,0.014500751449215463,5.841184422932972,8,21.660402572881935,11.313642146315601,-64.46936268605441
